code,name,altname,label,x,y
E05000050,Edgware,,E05000050,519036.385340019,193346.30595911
E05004207,Ashingdon and Canewdon,,E05004207,591174.320457066,193754.267662491
E05006029,Blisworth and Roade,,E05006029,474688.00799327,252979.872345892
E05006828,Chard Crimchard,,E05006828,332410.434588065,109640.066196156
E05001564,Heighington and Coniscliffe,,E05001564,423010.47526075,519502.716512493
E05008231,Helston Central,,E05008231,165774.982024931,27827.5383732167
E05006591,Sonning Common,,E05006591,470401.088372483,181337.123566619
E05002439,Withdean,,E05002439,529134.360152706,108872.121728151
E05000326,Brunel,,E05000326,506638.697174444,182144.224354806
E05006490,Bingham East,,E05006490,471256.932883872,339511.776089736
E05000343,West Ruislip,,E05000343,508328.799155381,188069.840815977
E05004493,Whitehill Deadwater,,E05004493,480496.582164606,135252.437645379
E05007594,Pagham and Rose Green,,E05007594,489232.730544244,99093.7282859016
E05006034,Cosgrove and Grafton,,E05006034,476402.645565706,245157.682808673
E05006835,Hamdon,,E05006835,347382.801746101,116709.078836802
E05000106,Bickley,,E05000106,542440.496061123,168943.135709806
E05000907,Riverside,,E05000907,334972.636077097,388057.019177322
E05008318,Tywardreath,,E05008318,208052.174637473,53673.1773604205
E05005495,Asfordby,,E05005495,471229.484258406,319873.586777263
E05002797,Comberton,,E05002797,538691.444856299,256713.398928923
E05004446,Oakley and North Waltham,,E05004446,457172.946198244,148101.384635997
E05004967,Higham,,E05004967,571511.147493875,173028.415768046
E05002658,Burnham Beeches,,E05002658,494058.78469562,185154.119336474
E05004166,Lower Nazeing,,E05004166,539156.071862988,206067.072495164
E05000321,South Hornchurch,,E05000321,551338.928421679,182768.912685548
E05005557,Witham,,E05005557,532175.837851828,345414.138607893
E05007910,Evesham North,,E05007910,403798.145962672,244753.648226311
E05007111,Manor,,E05007111,569346.057160146,272816.188774973
E05001845,Bircher,,E05001845,346498.963720464,265141.025226131
E05001044,Burngreave,,E05001044,436066.263836399,389815.163808215
E05008178,Porthill,,E05008178,348387.587427853,312508.716163185
E05008219,Falmouth Boslowick,,E05008219,179564.803481292,31074.8979601062
E05000712,Northenden,,E05000712,382744.980265321,390002.83890163
E05004470,Four Marks and Medstead,,E05004470,465885.136890365,135694.438961558
E05003283,Belper East,,E05003283,436658.443366342,348391.838237783
E05007593,Orchard,,E05007593,493200.85781985,100239.590401849
E05005765,Drayton South,,E05005765,618381.946453941,313168.5681067
E05002652,St Mary's and Waterside,,E05002652,496342.121840584,201014.700852656
E05006782,Rodney and Westbury,,E05006782,348889.153644515,149512.07977414
E05008685,Marbury,,E05008685,364226.442621083,378096.809952948
E05001045,Central,,E05001045,435016.88081651,387041.784612739
E05004477,Horndean Hazleton and Blendworth,,E05004477,471209.740852799,113660.700307868
E05005505,Melton Sysonby,,E05005505,474401.813530202,321122.693960528
E05004694,Apsley and Corner Hall,,E05004694,505691.803023506,205756.147969133
E05001844,Belmont,,E05001844,349108.669724022,238372.075572252
E05008675,Great Boughton,,E05008675,342820.755302177,366210.426565885
E05002300,Falkland,,E05002300,445854.684015477,164731.907524748
E05005491,"Markfield, Stanton and Fieldhead",,E05005491,447437.233797573,310308.494297945
E05004162,Loughton Forest,,E05004162,541447.25238341,195761.758881237
E05004963,Whitfield,,E05004963,630395.822868367,145233.864039852
E05008156,Clun,,E05008156,328714.507645332,280085.482728044
E05008235,"Ladock, St Clement and St Erme",,E05008235,185913.52654004,50452.4690940029
E05001233,Whoberley,,E05001233,430816.755485979,279273.346966451
E05004709,Nash Mills,,E05004709,507707.993833013,205208.25481615
E05005731,Haggard de Toni,,E05005731,591932.086554114,306222.651375922
E05008766,Kempston South,,E05008766,503567.798840756,246961.383633202
E05005810,Emneth with Outwell,,E05005810,551048.925042936,305396.384768081
E05005011,Crockenhill and Well Hill,,E05005011,550629.157278193,165597.729066658
E05003426,Eckington North,,E05003426,442272.999917602,379708.003864606
E05006400,Worksop South,,E05006400,457192.607553965,377296.63394149
E05005330,Bamber Bridge East,,E05005330,357411.361192269,425448.417527485
E05004253,St Bartholomews,,E05004253,619716.484518375,216401.458247518
E05000069,Christchurch,,E05000069,548849.368836114,175078.460811881
E05008691,St Paul's,,E05008691,337622.680226357,376993.137854071
E05004728,Hertford Kingsmead,,E05004728,534106.535424417,213212.667409745
E05000591,Cathall,,E05000591,538767.067892463,186073.71471363
E05000868,Halewood West,,E05000868,343745.249873781,385741.612543528
E05002809,Longstanton,,E05002809,539555.01959647,266491.670549189
E05007179,Ixworth,,E05007179,592912.006505536,271544.706825114
E05008328,Alderbury and Whiteparish,,E05008328,422748.731409941,125140.425575582
E05007978,Deerness Valley,,E05007978,420993.333301214,540053.921322238
E05006236,White Horse,,E05006236,451176.343549455,477421.125857575
E05000701,Fallowfield,,E05000701,384490.533827492,394238.588538282
E05003243,Grange North,,E05003243,340977.243719729,478538.114198058
E05005606,Wragby,,E05005606,515852.410682024,378712.970842152
E05002354,Castle Without,,E05002354,496390.17152413,176615.657012301
E05000639,Little Venice,,E05000639,526305.864237976,182083.874154912
E05001230,Upper Stoke,,E05001230,435652.707852005,280345.66711633
E05004663,Owslebury and Curdridge,,E05004663,452593.544134958,119806.084282168
E05000688,Ardwick,,E05000688,385731.069770847,396678.661663943
E05001446,Altofts and Whitwood,,E05001446,439429.526102771,424125.413702028
E05000403,Canbury,,E05000403,518683.827221737,170027.433599276
E05001562,Haughton North,,E05001562,431357.734167202,517024.172088667
E05001337,Tettenhall Regis,,E05001337,388598.436255646,300733.730446086
E05006640,Freeland and Hanborough,,E05006640,442244.285123235,213093.535777242
E05004555,Fleet North,,E05004555,482057.252110996,155334.967979552
E05004486,Petersfield St Marys,,E05004486,475541.480926708,124322.430815652
E05003380,Nottingham Road,,E05003380,450106.877572795,332846.075196307
E05006532,Cropredy,,E05006532,446484.46341749,246914.05222703
E05008764,Kempston North,,E05008764,503069.758553101,248459.664714431
E05005665,Belmont,,E05005665,494118.250400174,336370.070816045
E05000818,Stalybridge South,,E05000818,399429.370814809,399084.299349835
E05003492,Cowick,,E05003492,290185.149045152,91563.0572859961
E05000353,Hanworth,,E05000353,511911.705366107,171616.837984954
E05003659,Walkham,,E05003659,251422.287354976,72533.7316074643
E05007510,Wolvey,,E05007510,443080.072342427,287735.273097477
E05000698,Crumpsall,,E05000698,384569.626696928,402503.4558111
E05008636,Macclesfield Hurdsfield,,E05008636,392420.571528805,374695.638390166
E05001259,Wordsley,,E05001259,389342.03396758,287128.19955156
E05000255,Fulham Reach,,E05000255,523771.916942549,177815.309913322
E05003640,Buckland Monachorum,,E05003640,249831.149298639,67306.1121129037
E05005393,Hardhorn,,E05005393,335575.144053262,438172.390831234
E05006432,Kingswell,,E05006432,458676.955502179,344765.741937383
E05004213,Hawkwell South,,E05004213,587086.684628132,191812.490229151
E05002752,Peckover,,E05002752,544117.478984452,308994.990139285
E05006439,Ravenshead,,E05006439,456488.611103672,354348.63345289
E05000810,Dukinfield Stalybridge,,E05000810,395999.438874161,397585.783510723
E05006493,Cotgrave,,E05006493,464870.601580393,335630.70755996
E05000740,Bamford,,E05000740,387333.716109385,412714.855232246
E05005937,Shire Lodge,,E05005937,488193.591601416,290668.136066537
E05005136,Goudhurst and Lamberhurst,,E05005136,570144.463849175,136531.592246509
E05004708,Leverstock Green,,E05004708,508006.10757164,206559.596657685
E05008520,Belper South,,E05008520,435076.548453506,345880.183394065
E05001460,Wakefield North,,E05001460,431785.882954007,421042.337610643
E05005350,Moss Side,,E05005350,351169.449594912,422909.233699154
E05008190,Sundorne,,E05008190,351337.61840995,314705.671912374
E05007350,Chertsey Meads,,E05007350,504604.247246289,166035.652835534
E05004399,Stonehouse,,E05004399,380609.86485085,205379.864932728
E05000533,Whitton,,E05000533,514255.36355954,174001.092475496
E05003744,Burton Bradstock,,E05003744,351630.421653822,89478.1366128056
E05002690,Marlow North and West,,E05002690,484330.854695391,186304.339336637
E05004941,West Hill,,E05004941,553206.305274565,174264.426356073
E05002735,Bassenhally,,E05002735,530845.773362376,299693.167810942
E05001723,South,,E05001723,525305.370038791,407695.801709095
E05001489,Gresham,,E05001489,448725.765465577,519760.100277556
E05004140,Shrub End,,E05004140,598182.744322977,222618.8256786
E05000235,Dalston,,E05000235,533835.284034029,185049.407966834
E05008299,St Keverne and Meneage,,E05008299,173769.29838387,22796.8017759989
E05001514,Loftus,,E05001514,473205.117937932,516296.071945549
E05002056,Frampton Cotterell,,E05002056,366511.937147975,183556.167552609
E05008790,Dunstable-Watling,,E05008790,501580.285164131,220937.740871966
E05006336,Seamer,,E05006336,501708.46804008,483978.394019166
E05000070,Colyers,,E05000070,550842.814619287,176789.478843906
E05001534,Fairfield,,E05001534,440885.802741031,519702.609424684
E05001766,Wheldrake,,E05001766,465314.851257354,445647.644944783
E05003683,Longham,,E05003683,406141.621123408,98652.951624239
E05003257,Kendal Romney,,E05003257,351736.864454021,491269.900368952
E05005704,Hemswell,,E05005704,490741.743158998,391802.015122804
E05000871,Northwood,,E05000871,342678.260439518,399108.75878692
E05006870,Taunton Blackbrook and Holway,,E05006870,324450.339174804,123972.767135132
E05002185,Paston,,E05002185,519571.058541481,302704.225748775
E05007231,Bungay,,E05007231,633731.40574919,288583.020327544
E05000893,County,,E05000893,336229.63712813,394675.538314035
E05000092,Kensal Green,,E05000092,522392.823279777,183259.531985598
E05001987,Hartcliffe,,E05001987,357718.891895914,168354.634817557
E05001186,Erdington,,E05001186,411202.890717664,292358.952106039
E05000455,Abbey,,E05000455,525891.700171911,169892.250388885
E05001911,The Nedge,,E05001911,371057.616801227,307825.997144308
E05001110,Westerhope,,E05001110,418675.409752815,567452.92627156
E05005996,Pipers Hill,,E05005996,487812.009455107,278269.277504458
E05001249,Lye and Stourbridge North,,E05001249,391674.002015675,284669.628083292
E05002761,Wimblington,,E05002761,544390.241945989,291838.729509584
E05005197,Medlar-with-Wesham,,E05005197,341896.327906776,434244.685391728
E05004819,Ashridge,,E05004819,511339.378503954,192322.079071084
E05003508,Whipton & Barton,,E05003508,295353.261842818,93043.7102698413
E05004018,Uckfield Ridgewood,,E05004018,547593.812311249,119652.64901198
E05007850,Dyson Perrins,,E05007850,377404.218444951,248991.910900477
E05005239,Scotforth East,,E05005239,348418.131917599,459300.052648032
E05005838,Watlington,,E05005838,561676.104050803,311273.745662432
E05005039,Folkestone Harbour,,E05005039,624000.102558071,136801.194713305
E05008173,Monkmoor,,E05008173,351611.90933873,313216.677187853
E05007051,Cheadle West,,E05007051,399425.376051824,343690.997839305
E05006276,Brompton-on-Swale and Scorton,,E05006276,424133.055537365,500489.435123699
E05006396,Worksop East,,E05006396,462003.57361014,380552.092111337
E05001214,Sutton Vesey,,E05001214,410362.51877262,294842.12478687
E05006866,North Curry and Stoke St Gregory,,E05006866,333160.006322678,126800.610929367
E05005714,Sudbrooke,,E05005714,503669.35300601,377225.991394083
E05002410,Newport Pagnell North,,E05002410,486420.444752103,244396.173540715
E05004638,Cupernham,,E05004638,436263.278773534,122055.755798538
E05001456,Pontefract South,,E05001456,447588.694813271,419782.824032484
E05000602,Larkswood,,E05000602,537896.797664337,192479.770163005
E05005818,Hunstanton,,E05005818,570276.925607665,341685.686036194
E05002338,Chalvey,,E05002338,496794.6891468,179650.858229683
E05008590,Stratford Avenue and New Town,,E05008590,420419.025083081,256284.661838545
E05005876,Worstead,,E05005876,626611.014604726,327715.778321858
E05005019,Hartley and Hodsoll Street,,E05005019,561744.952892362,165308.194899671
E05005077,Teynham and Lynsted,,E05005077,596735.882518271,163104.829757768
