Code,New code,Area name,Population density (per hectare) 2017,"Average Age, 2017","Proportion of population aged 0-15, 2015","Proportion of population of working-age, 2015","Proportion of population aged 65 and over, 2015",% of largest migrant population (2011),% people aged 3+ whose main language is not English (2011 Census),"Overseas nationals entering the UK (NINo), (2015/16)","New migrant (NINo) rates, (2015/16)",Employment rate (%) (2015),Male employment rate (2015),Unemployment rate (2015),Youth Unemployment (claimant) rate 18-24 (Dec-15),Proportion of the working-age population who claim out-of-work benefits (%) (May-2016),Proportion of working age people with no qualifications (%) 2015,Proportion of working age with degree or equivalent and above (%) 2015,Modelled Household median income estimates 2012/13,% of employment that is in public sector (2014),Two-year business survival rates (started in 2013),Crime rates per thousand population 2014/15,Ambulance incidents per hundred population (2014),"Median House Price, 2015","Average Band D Council Tax charge (£), 2015/16",New Homes (net) 2015/16 (provisional),"Homes Owned outright, (2014) %","Being bought with mortgage or loan, (2014) %","Rented from Local Authority or Housing Association, (2014) %","Rented from Private landlord, (2014) %","% of area that is Greenspace, 2005",Total carbon emissions (2014),"Household Waste Recycling Rate, 2014/15","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2014/15","Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2013/14",Rates of Children Looked After (2016),% of pupils whose first language is not English (2015),% children living in out-of-work households (2015),"Male life expectancy, (2012-14)","Female life expectancy, (2012-14)",Teenage conception rate (2014),Life satisfaction score 2011-14 (out of 10),Worthwhileness score 2011-14 (out of 10),Happiness score 2011-14 (out of 10),Anxiety score 2011-14 (out of 10),Childhood Obesity Prevalance (%) 2015/16,People aged 17+ with diabetes (%),Mortality rate from causes considered preventable 2012/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000021,E09000021,Kingston upon Thames,47.1,37.1,19.6,67.2,13.2,2.2,16.4,"3,205",27.5,74.4,80.9,4.5,2.0,4.6,5.9,53.7,"£43,940",17.1,76.8,58.5,11.1,410000,1683.24,240,27.7,38.9,10.7,22.4,36.4,678,45.7,70421,1.1,20.4,68.6,30,39.3,7.7,82,84.6,15.3,7.3,7.7,7.4,3.3,16.9,4.9,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000022,E09000022,Lambeth,122.7,34.5,17.6,74.6,7.8,3.2,20.3,"11,259",46.5,78.5,82.3,5.9,4.1,8.8,6.2,65,"£38,490",23.1,63.8,104.6,13.3,450000,1257.35,1350,10.9,24.9,29.8,34.4,17.3,1091,28.3,66791,0.5,16.0,57.1,73,39.1,18.1,78.9,83.3,33.8,7.1,7.5,7.2,3.5,23.0,5.0,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000023,E09000023,Lewisham,86.3,35,20.6,70.1,9.3,3.5,16.5,"7,978",38.3,75.9,79.6,5.7,6.0,9.8,5.8,53.3,"£35,900",24.8,73.4,77.0,12.0,352000,1378.66,1540,16.5,31.7,28.1,23.6,22.5,825,17.1,76507,0.7,16.1,56.3,69,40.9,17.9,79,83.4,31.3,7.2,7.6,7.3,3.4,23.6,6.1,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000024,E09000024,Merton,55.3,36.7,20.6,67.2,12.2,3.5,21.1,"6,684",48.6,78.8,86.3,4.6,3.9,5.7,4.7,58,"£41,960",12.2,78.4,59.7,10.4,415000,1382.45,510,21.7,32.7,16.2,29.3,34.6,691,37.5,72777,0.9,14.4,67.8,35,34.2,10.4,80.4,84.2,19.7,7.3,7.5,7.1,3.6,19.2,5.6,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000025,E09000025,Newham,94.7,32.1,22.7,70.2,7,8.7,41.4,"25,604",109.6,66.2,75,9.1,4.1,8.0,11,43.4,"£28,780",23.1,70.0,90.8,12.2,305000,1240.54,1440,9.4,16.7,31.4,42.5,23.9,1261,17.2,61092,0.6,5.6,55.7,42,58.8,15.4,78.5,83.0,22.5,7.1,7.4,7.2,3.4,27.6,7.6,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000026,E09000026,Redbridge,53.9,35.8,22.8,65,12.2,7.6,24.6,"10,534",54.6,68.3,79.1,7.9,4.1,6.0,10.2,44.7,"£36,860",22.9,74.7,69.7,11.3,345000,1415.22,50,29.5,34.9,11.3,24.1,40.6,874,28.7,106339,1.1,11.8,68.7,28,66.5,9.8,80.9,84.6,18.5,7.3,7.6,7.3,3.2,23.3,7.9,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000027,E09000027,Richmond upon Thames,34.4,38.8,20.7,64.5,14.8,1.8,10.4,"2,580",20.6,79.6,82.1,3.8,2.4,4.4,3.2,69.5,"£53,470",11.2,78.8,56.3,9.7,575000,1582.39,510,30.9,38.4,8.7,21.9,50.8,790,41.2,84918,1.1,33.1,70.5,26,53.5,5.7,82.4,86.0,12.6,7.5,7.8,7.3,3.2,12.6,3.7,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000028,E09000028,Southwark,108.9,34.4,18.6,73.5,7.9,4.7,19.6,"12,157",53.5,74.2,79.8,7.7,4.7,8.8,7.6,56.8,"£37,100",18.8,73.4,100.6,13.6,475000,1206.38,1380,10.1,26.3,37.2,26.4,24.9,1169,34.6,60438,0.5,20.1,61.2,75,29.8,19.5,78.9,83.9,27.4,7.5,7.7,7.3,3.4,27.6,5.5,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000029,E09000029,Sutton,46.2,38.9,20.7,64.3,15.1,1.8,10.0,"2,070",16.1,78.2,86.2,5.5,2.3,5.1,4.3,42.5,"£39,940",18.9,76.0,55.9,11.3,320000,1486.03,390,25.7,41.8,11.6,20.5,32.0,666,37.6,91266,1.2,9.4,67.4,50,34.3,9.6,80.9,83.4,17.3,7.5,7.7,7.3,3.2,18.4,5.9,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000030,E09000030,Tower Hamlets,153.7,31.4,20.1,73.9,6,15.3,34.2,"17,580",80.5,70.4,80.3,9.2,3.2,8.5,10,45.7,"£34,930",16.1,69.7,99.9,11.8,415000,1196.85,2390,7.0,19.8,41.6,31.5,15.2,1703,28.1,43589,0.4,22.4,59.2,47,51.1,21.9,78.1,82.5,18.1,7.2,7.4,7.2,3.3,27.1,6.6,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000031,E09000031,Waltham Forest,71.2,35.1,21.8,67.9,10.3,4.9,26.4,"15,452",83.9,73.1,76.8,5.4,3.5,8.1,11.6,42.6,"£33,080",23.0,71.0,78.0,11.7,366569,1474.18,970,20.6,29.2,19.9,30.0,31.4,780,35.5,76217,0.8,12.9,58.3,43,62.4,15.1,79.4,83.8,26.2,7.2,7.5,7.1,3.1,26.3,6.4,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000032,E09000032,Wandsworth,93.7,35,17.8,72.8,9.3,2.2,17.4,"9,965",43.5,78.8,86.6,5.7,2.6,5.9,4.3,66.4,"£47,480",21.4,75.8,72.6,10.1,557000,679.91,2740,17.7,30.5,19.3,31.2,26.9,1038,20.7,89513,0.7,30.7,63.0,41,50.8,12.7,79.5,83.7,19.3,7.4,7.6,7.4,3.6,19.3,4.2,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000033,E09000033,Westminster,112.7,37.7,15.9,72.3,11.7,3.6,30.8,"12,613",72.0,65.6,68.6,8.8,3.5,7.6,4.5,63.6,"£47,510",13.4,68.8,212.4,19.9,920000,669.07,910,17.1,11.6,27.8,43.3,38.2,2502,19.1,48810,0.5,15.8,65.7,39,52.6,15.8,82.3,86.3,15.4,7.3,7.5,7.1,3.4,24.9,4.4,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
